   ------------------------------------------------------------------
  | Welcome to ROOT 6.22/08                        https://root.cern |
  | (c) 1995-2020, The ROOT Team; conception: R. Brun, F. Rademakers |
  | Built for linuxx8664gcc on Mar 10 2021, 14:20:04                 |
  | From tags/v6-22-08@v6-22-08                                      |
totedep 2.02672 nhit= 11
# of display =83
# of event =2919
totedep 4.77137 nhit= 18
# of display =84
# of event =2929
totedep 6.08108 nhit= 36
# of display =85
# of event =2952
totedep 2.69295 nhit= 11
# of display =86
# of event =2957
totedep 2.70461 nhit= 13
# of display =87
# of event =3059
totedep 5.99902 nhit= 19
# of display =88
# of event =3075
totedep 2.64632 nhit= 14
# of display =89
# of event =3082
totedep 2.6331 nhit= 16
# of display =90
# of event =3105
totedep 1.36913 nhit= 11
# of display =91
# of event =3148
totedep 2.18026 nhit= 14
# of display =92
# of event =3209
totedep 5.48206 nhit= 20
# of display =93
# of event =3247
totedep 4.72374 nhit= 16
# of display =94
# of event =3254
totedep 16.0002 nhit= 76
# of display =95
# of event =3408
totedep 5.80324 nhit= 18
# of display =96
# of event =3430
totedep 2.71363 nhit= 12
# of display =97
# of event =3433
totedep 6.4631 nhit= 22
# of display =98
# of event =3447
totedep 14.2922 nhit= 44
# of display =99
# of event =3456
totedep 4.9663 nhit= 26
# of display =100
# of event =3543
totedep 2.69988 nhit= 10
# of display =101
# of event =3591
totedep 4.15276 nhit= 13
# of display =102
# of event =3617
totedep 2.13815 nhit= 14
# of display =103
# of event =3637
totedep 5.49656 nhit= 28
# of display =104
# of event =3767
totedep 2.70402 nhit= 15
# of display =105
# of event =3779
totedep 2.17459 nhit= 11
# of display =106
# of event =3792
totedep 2.18051 nhit= 12
# of display =107
# of event =3799
totedep 1.77087 nhit= 10
# of display =108
# of event =3832
totedep 3.17809 nhit= 17
# of display =109
# of event =3847
totedep 7.57212 nhit= 29
# of display =110
# of event =3860
totedep 10.2708 nhit= 60
# of display =111
# of event =3915
totedep 2.34967 nhit= 13
# of display =112
# of event =4058
totedep 2.9335 nhit= 22
# of display =113
# of event =4068
totedep 5.65452 nhit= 23
# of display =114
# of event =4204
totedep 1.31807 nhit= 11
# of display =115
# of event =4284
totedep 8.14403 nhit= 27
# of display =116
# of event =4298
totedep 16.7666 nhit= 64
# of display =117
# of event =4340
totedep 15.1929 nhit= 54
# of display =118
# of event =4374
totedep 10.5229 nhit= 31
# of display =119
# of event =4391
totedep 2.12322 nhit= 12
# of display =120
# of event =4396
totedep 2.58188 nhit= 11
# of display =121
# of event =4445
totedep 3.95962 nhit= 22
# of display =122
# of event =4449
totedep 2.69757 nhit= 13
# of display =123
# of event =4461
totedep 2.23123 nhit= 12
# of display =124
# of event =4468
totedep 1.82332 nhit= 11
# of display =125
# of event =4496
totedep 5.41805 nhit= 29
# of display =126
# of event =4498
totedep 1.80415 nhit= 10
# of display =127
# of event =4523
totedep 8.42551 nhit= 43
# of display =128
# of event =4533
totedep 9.20896 nhit= 35
# of display =129
# of event =4545
totedep 16.3237 nhit= 53
# of display =130
# of event =4555
totedep 2.87001 nhit= 17
# of display =131
# of event =4573
totedep 1.90844 nhit= 12
# of display =132
# of event =4623
totedep 22.8204 nhit= 65
# of display =133
# of event =4630
totedep 2.96695 nhit= 11
# of display =134
# of event =4638
totedep 11.4922 nhit= 36
# of display =135
# of event =4643
totedep 2.95745 nhit= 16
# of display =136
# of event =4653
totedep 2.15437 nhit= 14
# of display =137
# of event =4695
totedep 3.2517 nhit= 17
# of display =138
# of event =4696
totedep 1.66546 nhit= 10
# of display =139
# of event =4731
totedep 7.08924 nhit= 37
# of display =140
# of event =4783
totedep 2.35334 nhit= 11
# of display =141
# of event =4789
totedep 1.9596 nhit= 10
# of display =142
# of event =4795
totedep 2.55097 nhit= 14
# of display =143
# of event =4798
totedep 3.01795 nhit= 14
# of display =144
# of event =4840
totedep 10.2315 nhit= 32
# of display =145
# of event =4852
totedep 2.08895 nhit= 10
# of display =146
# of event =4857
totedep 2.58968 nhit= 11
# of display =147
# of event =4895
totedep 1.52069 nhit= 13
# of display =148
# of event =4902
totedep 16.4356 nhit= 46
# of display =149
# of event =4907
totedep 5.91081 nhit= 25
# of display =150
# of event =4948
totedep 6.23675 nhit= 18
# of display =151
# of event =4958
totedep 6.20323 nhit= 24
# of display =152
# of event =4971
totedep 5.49731 nhit= 17
# of display =153
# of event =4976
totedep 1.84922 nhit= 12
# of display =154
# of event =5010
totedep 2.22837 nhit= 10
# of display =155
# of event =5021
totedep 9.45749 nhit= 34
# of display =156
# of event =5022
totedep 2.60651 nhit= 15
# of display =157
# of event =5029
totedep 4.73175 nhit= 25
# of display =158
# of event =5096
totedep 3.02122 nhit= 13
# of display =159
# of event =5105
totedep 3.54841 nhit= 22
# of display =160
# of event =5177
totedep 2.3242 nhit= 10
# of display =161
# of event =5209
totedep 6.74811 nhit= 26
# of display =162
# of event =5216
totedep 2.84047 nhit= 13
# of display =163
# of event =5229
totedep 1.3251 nhit= 10
# of display =164
# of event =5248
totedep 7.07338 nhit= 24
# of display =165
# of event =5262
totedep 2.82656 nhit= 11
# of display =166
# of event =5265
totedep 5.35394 nhit= 18
# of display =167
# of event =5353
totedep 2.38492 nhit= 13
# of display =168
# of event =5382
totedep 16.0225 nhit= 55
# of display =169
# of event =5388
totedep 17.3457 nhit= 53
# of display =170
# of event =5409
totedep 1.98138 nhit= 12
# of display =171
# of event =5518
totedep 1.96072 nhit= 13
# of display =172
# of event =5534
totedep 9.21433 nhit= 35
# of display =173
# of event =5583
totedep 8.23714 nhit= 49
# of display =174
# of event =5591
totedep 7.38559 nhit= 27
# of display =175
# of event =5600
totedep 27.6638 nhit= 38
# of display =176
# of event =5609
totedep 2.81758 nhit= 10
# of display =177
# of event =5610
totedep 8.63344 nhit= 48
# of display =178
# of event =5620
totedep 2.37131 nhit= 14
# of display =179
# of event =5638
totedep 4.36639 nhit= 11
# of display =180
# of event =5655
totedep 3.02204 nhit= 10
# of display =181
# of event =5704
totedep 6.31638 nhit= 19
# of display =182
# of event =5717
totedep 5.03802 nhit= 22
# of display =183
# of event =5741
totedep 1.76339 nhit= 10
# of display =184
# of event =5745
totedep 3.88671 nhit= 15
# of display =185
# of event =5752
totedep 4.35076 nhit= 25
# of display =186
# of event =5780
totedep 2.21293 nhit= 12
# of display =187
# of event =5818
totedep 1.73975 nhit= 10
# of display =188
# of event =5842
totedep 3.73277 nhit= 22
# of display =189
# of event =5857
totedep 2.56156 nhit= 12
# of display =190
# of event =5933
totedep 6.9316 nhit= 29
# of display =191
# of event =5962
totedep 11.5481 nhit= 47
# of display =192
# of event =6120
totedep 2.37524 nhit= 10
# of display =193
# of event =6142
totedep 2.98642 nhit= 17
# of display =194
# of event =6230
totedep 1.74518 nhit= 10
# of display =195
# of event =6260
totedep 8.21083 nhit= 24
# of display =196
# of event =6281
totedep 7.90943 nhit= 14
# of display =197
# of event =6287
totedep 4.69055 nhit= 23
# of display =198
# of event =6291
totedep 3.35869 nhit= 20
# of display =199
# of event =6304
totedep 3.18676 nhit= 18
# of display =200
# of event =6342
totedep 2.67087 nhit= 11
# of display =201
# of event =6347
totedep 7.96369 nhit= 24
# of display =202
# of event =6349
totedep 8.06277 nhit= 27
# of display =203
# of event =6350
totedep 4.28647 nhit= 17
# of display =204
# of event =6376
totedep 6.57746 nhit= 16
# of display =205
# of event =6405
totedep 4.07697 nhit= 20
# of display =206
# of event =6442
totedep 2.87912 nhit= 18
# of display =207
# of event =6545
totedep 3.64212 nhit= 12
# of display =208
# of event =6587
totedep 1.66547 nhit= 10
# of display =209
# of event =6619
totedep 8.60518 nhit= 44
# of display =210
# of event =6651
totedep 3.04353 nhit= 16
# of display =211
# of event =6662
totedep 1.26696 nhit= 10
# of display =212
# of event =6669
totedep 5.99213 nhit= 18
# of display =213
# of event =6683
totedep 2.82578 nhit= 16
# of display =214
# of event =6698
totedep 6.33633 nhit= 16
# of display =215
# of event =6717
totedep 7.08154 nhit= 26
# of display =216
# of event =6759
totedep 4.65817 nhit= 19
# of display =217
# of event =6787
totedep 1.91802 nhit= 15
# of display =218
# of event =6802
totedep 3.74467 nhit= 16
# of display =219
# of event =6808
totedep 4.45456 nhit= 22
# of display =220
# of event =6810
totedep 5.11996 nhit= 28
# of display =221
# of event =6844
totedep 10.9426 nhit= 36
# of display =222
# of event =6845
totedep 4.34262 nhit= 23
# of display =223
# of event =6852
totedep 2.68828 nhit= 18
# of display =224
# of event =6870
totedep 9.12973 nhit= 40
# of display =225
# of event =6883
totedep 8.0111 nhit= 46
# of display =226
# of event =6922
totedep 3.63833 nhit= 17
# of display =227
# of event =6930
totedep 1.22392 nhit= 10
# of display =228
# of event =6950
totedep 15.0383 nhit= 55
# of display =229
# of event =6954
totedep 20.3495 nhit= 77
# of display =230
# of event =6987
totedep 3.14215 nhit= 16
# of display =231
# of event =6988
totedep 19.219 nhit= 55
# of display =232
# of event =7020
totedep 4.04672 nhit= 16
# of display =233
# of event =7038
totedep 3.77278 nhit= 18
# of display =234
# of event =7039
totedep 4.6083 nhit= 14
# of display =235
# of event =7057
totedep 2.86568 nhit= 17
# of display =236
# of event =7060
totedep 5.04718 nhit= 14
# of display =237
# of event =7064
totedep 5.54008 nhit= 30
# of display =238
# of event =7127
totedep 14.6194 nhit= 59
# of display =239
# of event =7129
totedep 2.29435 nhit= 14
# of display =240
# of event =7155
totedep 3.7485 nhit= 17
# of display =241
# of event =7320
totedep 5.52001 nhit= 30
# of display =242
# of event =7413
totedep 3.08188 nhit= 12
# of display =243
# of event =7455
totedep 14.9103 nhit= 49
# of display =244
# of event =7466
totedep 5.42728 nhit= 32
# of display =245
# of event =7481
totedep 1.96697 nhit= 12
# of display =246
# of event =7488
totedep 4.81316 nhit= 22
# of display =247
# of event =7526
totedep 1.85372 nhit= 10
# of display =248
# of event =7577
totedep 3.43688 nhit= 12
# of display =249
# of event =7578
totedep 4.55054 nhit= 16
# of display =250
# of event =7625
totedep 3.98333 nhit= 13
# of display =251
# of event =7658
totedep 3.57407 nhit= 19
# of display =252
# of event =7679
totedep 1.83198 nhit= 13
# of display =253
# of event =7700
totedep 10.9129 nhit= 31
# of display =254
# of event =7715
totedep 3.96334 nhit= 18
# of display =255
# of event =7722
totedep 1.93448 nhit= 10
# of display =256
# of event =7728
totedep 3.52101 nhit= 12
# of display =257
# of event =7731
totedep 2.10141 nhit= 10
# of display =258
# of event =7735
totedep 9.83437 nhit= 46
# of display =259
# of event =7762
totedep 2.52537 nhit= 15
# of display =260
# of event =7826
totedep 7.86149 nhit= 45
# of display =261
# of event =7862
totedep 2.1212 nhit= 12
# of display =262
# of event =7965
totedep 7.27925 nhit= 20
# of display =263
# of event =7993
totedep 2.79239 nhit= 12
# of display =264
# of event =7998
totedep 8.61207 nhit= 35
# of display =265
# of event =8029
totedep 12.3372 nhit= 40
# of display =266
# of event =8080
totedep 15.0929 nhit= 47
# of display =267
# of event =8100
totedep 5.38324 nhit= 31
# of display =268
# of event =8103
totedep 7.20706 nhit= 32
# of display =269
# of event =8129
totedep 4.72175 nhit= 29
# of display =270
# of event =8153
totedep 10.6226 nhit= 48
# of display =271
# of event =8203
totedep 2.23564 nhit= 18
# of display =272
# of event =8221
totedep 7.58291 nhit= 46
# of display =273
# of event =8223
totedep 4.62737 nhit= 21
# of display =274
# of event =8226
totedep 7.08344 nhit= 23
# of display =275
# of event =8230
totedep 9.52163 nhit= 36
# of display =276
# of event =8232
totedep 9.50626 nhit= 46
# of display =277
# of event =8262
totedep 16.3589 nhit= 51
# of display =278
# of event =8314
totedep 1.72096 nhit= 11
# of display =279
# of event =8317
totedep 7.28624 nhit= 34
# of display =280
# of event =8368
totedep 4.37644 nhit= 17
# of display =281
# of event =8374
totedep 2.93259 nhit= 15
# of display =282
# of event =8399
totedep 1.82546 nhit= 12
# of display =283
# of event =8405
totedep 4.30296 nhit= 15
# of display =284
# of event =8440
totedep 2.31762 nhit= 12
# of display =285
# of event =8441
totedep 6.08323 nhit= 27
# of display =286
# of event =8449
totedep 5.79968 nhit= 21
# of display =287
# of event =8457
totedep 8.37423 nhit= 34
# of display =288
# of event =8479
totedep 4.05902 nhit= 13
# of display =289
# of event =8545
totedep 2.92081 nhit= 13
# of display =290
# of event =8579
totedep 5.69503 nhit= 18
# of display =291
# of event =8598
totedep 5.61164 nhit= 21
# of display =292
# of event =8639
totedep 1.15226 nhit= 10
# of display =293
# of event =8673
totedep 6.09307 nhit= 40
# of display =294
# of event =8711
totedep 14.2284 nhit= 53
# of display =295
# of event =8741
totedep 2.24748 nhit= 17
# of display =296
# of event =8761
totedep 9.55438 nhit= 28
# of display =297
# of event =8765
totedep 1.75314 nhit= 13
# of display =298
# of event =8786
totedep 3.20002 nhit= 11
# of display =299
# of event =8814
totedep 2.57559 nhit= 17
# of display =300
# of event =8826
totedep 2.235 nhit= 11
# of display =301
# of event =8874
totedep 2.28906 nhit= 12
# of display =302
# of event =8889
totedep 2.61666 nhit= 12
# of display =303
# of event =8896
totedep 3.48438 nhit= 18
# of display =304
# of event =8900
totedep 2.50173 nhit= 10
# of display =305
# of event =8908
totedep 3.63862 nhit= 22
# of display =306
# of event =8931
totedep 5.88072 nhit= 33
# of display =307
# of event =8952
totedep 6.64967 nhit= 26
# of display =308
# of event =8991
totedep 4.75383 nhit= 19
# of display =309
# of event =9007
totedep 3.76768 nhit= 18
# of display =310
# of event =9033
totedep 3.3654 nhit= 11
# of display =311
# of event =9037
totedep 4.89715 nhit= 18
# of display =312
# of event =9039
totedep 20.7162 nhit= 27
# of display =313
# of event =9057
totedep 9.0695 nhit= 35
# of display =314
# of event =9063
totedep 4.69317 nhit= 29
# of display =315
# of event =9077
totedep 3.47179 nhit= 16
# of display =316
# of event =9112
totedep 4.96662 nhit= 23
# of display =317
# of event =9114
totedep 7.21005 nhit= 23
# of display =318
# of event =9134
totedep 3.56498 nhit= 16
# of display =319
# of event =9140
totedep 4.32464 nhit= 20
# of display =320
# of event =9150
totedep 2.32998 nhit= 12
# of display =321
# of event =9227
totedep 2.70627 nhit= 10
# of display =322
# of event =9231
totedep 5.42698 nhit= 26
# of display =323
# of event =9239
totedep 5.43453 nhit= 26
# of display =324
# of event =9272
totedep 15.7468 nhit= 71
# of display =325
# of event =9314
totedep 1.74553 nhit= 10
# of display =326
# of event =9319
totedep 6.05498 nhit= 21
# of display =327
# of event =9332
totedep 10.1443 nhit= 32
# of display =328
# of event =9334
totedep 1.87628 nhit= 11
# of display =329
# of event =9372
totedep 4.61783 nhit= 26
# of display =330
# of event =9380
totedep 6.79657 nhit= 19
# of display =331
# of event =9401
totedep 6.82024 nhit= 29
# of display =332
# of event =9448
totedep 3.52411 nhit= 21
# of display =333
# of event =9470
totedep 12.5036 nhit= 29
# of display =334
# of event =9532
totedep 3.04332 nhit= 13
# of display =335
# of event =9552
totedep 9.21638 nhit= 30
# of display =336
# of event =9557
totedep 5.26424 nhit= 16
# of display =337
# of event =9561
totedep 4.17775 nhit= 16
# of display =338
# of event =9562
totedep 3.22588 nhit= 15
# of display =339
# of event =9570
totedep 4.42383 nhit= 27
# of display =340
# of event =9607
totedep 8.36702 nhit= 28
# of display =341
# of event =9613
totedep 4.90463 nhit= 26
# of display =342
# of event =9679
totedep 2.29118 nhit= 14
# of display =343
# of event =9735
totedep 13.3403 nhit= 43
# of display =344
# of event =9754
totedep 3.9792 nhit= 13
# of display =345
# of event =9766
totedep 2.60478 nhit= 13
# of display =346
# of event =9768
totedep 4.56599 nhit= 25
# of display =347
# of event =9770
totedep 1.46033 nhit= 10
# of display =348
# of event =9792
totedep 1.39869 nhit= 12
# of display =349
# of event =9807
totedep 1.86748 nhit= 10
# of display =350
# of event =9865
totedep 3.93639 nhit= 14
# of display =351
# of event =9872
totedep 3.35713 nhit= 16
# of display =352
# of event =9875
totedep 8.32545 nhit= 40
# of display =353
# of event =9987
totedep 4.07356 nhit= 22
# of display =354
# of event =9990
totedep 10.0911 nhit= 38
# of display =355
# of event =10020
totedep 2.37137 nhit= 12
# of display =356
# of event =10027
totedep 1.08367 nhit= 11
# of display =357
# of event =10032
totedep 2.89953 nhit= 12
# of display =358
# of event =10040
totedep 3.74344 nhit= 17
# of display =359
# of event =10048
totedep 1.99013 nhit= 12
# of display =360
# of event =10057
totedep 5.43036 nhit= 16
# of display =361
# of event =10161
totedep 7.92161 nhit= 28
# of display =362
# of event =10212
totedep 8.65675 nhit= 46
# of display =363
# of event =10295
totedep 5.80287 nhit= 38
# of display =364
# of event =10416
totedep 7.40545 nhit= 26
# of display =365
# of event =10423
totedep 2.02653 nhit= 15
# of display =366
# of event =10438
totedep 3.4433 nhit= 12
# of display =367
# of event =10525
totedep 4.60089 nhit= 25
# of display =368
# of event =10564
totedep 4.67931 nhit= 24
# of display =369
# of event =10584
totedep 5.25329 nhit= 19
# of display =370
# of event =10607
totedep 2.95369 nhit= 13
# of display =371
# of event =10671
totedep 3.75038 nhit= 15
# of display =372
# of event =10673
totedep 4.54057 nhit= 13
# of display =373
# of event =10685
totedep 6.22064 nhit= 22
# of display =374
# of event =10724
totedep 5.94309 nhit= 29
# of display =375
# of event =10745
totedep 4.58648 nhit= 30
# of display =376
# of event =10792
totedep 5.77789 nhit= 33
# of display =377
# of event =10808
totedep 9.23321 nhit= 56
# of display =378
# of event =10809
totedep 4.93889 nhit= 18
# of display =379
# of event =10885
totedep 4.47942 nhit= 21
# of display =380
# of event =10916
totedep 2.02631 nhit= 11
# of display =381
# of event =10919
totedep 4.48073 nhit= 20
# of display =382
# of event =10967
totedep 10.2275 nhit= 38
# of display =383
# of event =10969
totedep 8.76078 nhit= 45
# of display =384
# of event =10989
totedep 4.16926 nhit= 17
# of display =385
# of event =11027
totedep 10.0437 nhit= 31
# of display =386
# of event =11037
totedep 4.85972 nhit= 20
# of display =387
# of event =11063
totedep 4.25878 nhit= 20
# of display =388
# of event =11106
totedep 5.54537 nhit= 28
# of display =389
# of event =11110
totedep 2.53243 nhit= 10
# of display =390
# of event =11113
totedep 9.58465 nhit= 45
# of display =391
# of event =11232
totedep 2.13435 nhit= 11
# of display =392
# of event =11251
totedep 5.74638 nhit= 27
# of display =393
# of event =11269
totedep 3.18907 nhit= 16
# of display =394
# of event =11279
totedep 3.20695 nhit= 14
# of display =395
# of event =11324
totedep 3.12499 nhit= 19
# of display =396
# of event =11335
totedep 5.46817 nhit= 31
# of display =397
# of event =11356
totedep 4.66134 nhit= 28
# of display =398
# of event =11366
totedep 10.2674 nhit= 45
# of display =399
# of event =11369
totedep 3.00439 nhit= 20
# of display =400
# of event =11418
totedep 2.08576 nhit= 12
# of display =401
# of event =11470
totedep 1.61116 nhit= 11
# of display =402
# of event =11484
totedep 2.77079 nhit= 12
# of display =403
# of event =11499
totedep 2.23577 nhit= 12
# of display =404
# of event =11543
totedep 4.19053 nhit= 19
# of display =405
# of event =11598
totedep 4.93355 nhit= 16
# of display =406
# of event =11616
totedep 3.97142 nhit= 20
# of display =407
# of event =11618
totedep 2.88587 nhit= 15
# of display =408
# of event =11725
totedep 4.8195 nhit= 16
# of display =409
# of event =11727
totedep 15.5172 nhit= 54
# of display =410
# of event =11762
totedep 5.47862 nhit= 18
# of display =411
# of event =11785
totedep 2.70465 nhit= 13
# of display =412
# of event =11858
totedep 5.09034 nhit= 29
# of display =413
# of event =11872
totedep 4.2092 nhit= 15
# of display =414
# of event =11894
totedep 5.23488 nhit= 15
# of display =415
# of event =11909
totedep 3.31597 nhit= 12
# of display =416
# of event =11969
totedep 2.22453 nhit= 12
# of display =417
# of event =12040
totedep 27.0904 nhit= 72
# of display =418
# of event =12061
totedep 5.22028 nhit= 27
# of display =419
# of event =12222
totedep 2.19803 nhit= 15
# of display =420
# of event =12344
totedep 4.6914 nhit= 23
# of display =421
# of event =12354
totedep 2.84434 nhit= 16
# of display =422
# of event =12424
totedep 4.44954 nhit= 19
# of display =423
# of event =12426
totedep 8.07201 nhit= 49
# of display =424
# of event =12428
totedep 1.31498 nhit= 11
# of display =425
# of event =12467
totedep 3.07759 nhit= 20
# of display =426
# of event =12499
totedep 3.73667 nhit= 22
# of display =427
# of event =12521
totedep 2.40912 nhit= 11
# of display =428
# of event =12544
totedep 8.0846 nhit= 29
# of display =429
# of event =12631
totedep 3.36806 nhit= 19
# of display =430
# of event =12668
totedep 1.66621 nhit= 10
# of display =431
# of event =12677
totedep 4.8471 nhit= 22
# of display =432
# of event =12692
totedep 3.74368 nhit= 15
# of display =433
# of event =12718
totedep 3.09914 nhit= 16
# of display =434
# of event =12724
totedep 4.27707 nhit= 14
# of display =435
# of event =12736
totedep 3.19397 nhit= 21
# of display =436
# of event =12782
totedep 5.22346 nhit= 18
# of display =437
# of event =12796
totedep 1.15355 nhit= 12
# of display =438
# of event =12878
totedep 2.56377 nhit= 14
# of display =439
# of event =12900
totedep 12.8788 nhit= 39
# of display =440
# of event =12912
totedep 8.46928 nhit= 52
# of display =441
# of event =12955
totedep 6.0475 nhit= 29
# of display =442
# of event =12979
totedep 8.86042 nhit= 42
# of display =443
# of event =13016
totedep 3.85074 nhit= 14
# of display =444
# of event =13032
totedep 2.10183 nhit= 14
# of display =445
# of event =13047
totedep 3.33182 nhit= 16
# of display =446
# of event =13064
totedep 3.40793 nhit= 13
# of display =447
# of event =13067
totedep 3.14587 nhit= 14
# of display =448
# of event =13072
totedep 7.01848 nhit= 25
# of display =449
# of event =13093
totedep 1.88481 nhit= 10
# of display =450
# of event =13122
totedep 6.21087 nhit= 21
# of display =451
# of event =13144
totedep 15.8441 nhit= 76
# of display =452
# of event =13184
totedep 4.89863 nhit= 15
# of display =453
# of event =13193
totedep 2.96608 nhit= 16
# of display =454
# of event =13289
totedep 4.67563 nhit= 20
# of display =455
# of event =13322
totedep 1.86169 nhit= 10
# of display =456
# of event =13323
totedep 5.64994 nhit= 23
# of display =457
# of event =13351
totedep 7.69935 nhit= 24
# of display =458
# of event =13376
totedep 1.31549 nhit= 10
# of display =459
# of event =13489
totedep 2.20468 nhit= 10
# of display =460
# of event =13491
totedep 10.4277 nhit= 38
# of display =461
# of event =13543
totedep 3.96302 nhit= 12
# of display =462
# of event =13567
totedep 10.344 nhit= 46
# of display =463
# of event =13618
totedep 15.852 nhit= 52
# of display =464
# of event =13620
totedep 11.7393 nhit= 40
# of display =465
# of event =13636
totedep 3.75615 nhit= 13
# of display =466
# of event =13658
totedep 8.55688 nhit= 32
# of display =467
# of event =13764
totedep 6.70938 nhit= 26
# of display =468
# of event =13803
totedep 1.64976 nhit= 11
# of display =469
# of event =13846
totedep 3.64785 nhit= 16
# of display =470
# of event =13849
totedep 2.29659 nhit= 15
# of display =471
# of event =13870
totedep 4.01379 nhit= 15
# of display =472
# of event =13899
